train_frac,weight_decay,seed,t_train_99,t_test_95,tau_g,final_train_acc,final_test_acc,status
0.35,0.1,0,250,,50000,1.0,0.3469587862491607,no_generalization
0.35,0.1,1,250,,50000,1.0,0.3399280309677124,no_generalization
0.35,0.1,2,250,,50000,1.0,0.3518639504909515,no_generalization
0.4,0.1,0,250,,50000,1.0,0.4020545482635498,no_generalization
0.4,0.1,1,250,,50000,1.0,0.4036485850811004,no_generalization
0.4,0.1,2,250,,50000,1.0,0.4036485850811004,no_generalization
0.45,0.1,0,250,,50000,1.0,0.4765217304229736,no_generalization
0.45,0.1,1,250,,50000,1.0,0.6939130425453186,no_generalization
0.45,0.1,2,250,,50000,1.0,0.4854106307029724,no_generalization
0.5,0.1,0,250,49750.0,49500,1.0,0.9545164704322816,delayed_generalization
0.5,0.1,1,250,42750.0,42500,1.0,0.9904356598854064,delayed_generalization
0.5,0.1,2,250,,50000,1.0,0.9160467386245728,no_generalization
0.35,0.3,0,250,,50000,1.0,0.483812928199768,no_generalization
0.35,0.3,1,250,,50000,1.0,0.5259973406791687,no_generalization
0.35,0.3,2,250,,50000,1.0,0.7972530722618103,no_generalization
0.4,0.3,0,250,30750.0,30500,1.0,1.0,delayed_generalization
0.4,0.3,1,250,29000.0,28750,1.0,1.0,delayed_generalization
0.4,0.3,2,250,27250.0,27000,1.0,1.0,delayed_generalization
0.45,0.3,0,250,23750.0,23500,1.0,1.0,delayed_generalization
0.45,0.3,1,250,18000.0,17750,1.0,1.0,delayed_generalization
0.45,0.3,2,250,22250.0,22000,1.0,1.0,delayed_generalization
0.5,0.3,0,250,16500.0,16250,1.0,1.0,delayed_generalization
0.5,0.3,1,250,14750.0,14500,1.0,1.0,delayed_generalization
0.5,0.3,2,250,16500.0,16250,1.0,1.0,delayed_generalization
0.35,0.5,0,250,,50000,1.0,0.0,no_generalization
0.35,0.5,1,250,30250.0,30000,1.0,1.0,delayed_generalization
0.35,0.5,2,250,24000.0,23750,1.0,1.0,delayed_generalization
0.4,0.5,0,250,18500.0,18250,1.0,1.0,delayed_generalization
0.4,0.5,1,250,15500.0,15250,1.0,1.0,delayed_generalization
0.4,0.5,2,250,15500.0,15250,1.0,1.0,delayed_generalization
0.45,0.5,0,250,14000.0,13750,1.0,1.0,delayed_generalization
0.45,0.5,1,250,10750.0,10500,1.0,1.0,delayed_generalization
0.45,0.5,2,250,13000.0,12750,1.0,1.0,delayed_generalization
0.5,0.5,0,250,10000.0,9750,1.0,1.0,delayed_generalization
0.5,0.5,1,250,8250.0,8000,1.0,1.0,delayed_generalization
0.5,0.5,2,250,10000.0,9750,1.0,1.0,delayed_generalization
0.35,1.0,0,250,10250.0,10000,1.0,0.9999999403953552,delayed_generalization
0.35,1.0,1,250,10250.0,10000,1.0,0.9999999403953552,delayed_generalization
0.35,1.0,2,250,10000.0,9750,1.0,0.9996729493141174,delayed_generalization
0.4,1.0,0,250,8000.0,7750,1.0,1.0,delayed_generalization
0.4,1.0,1,250,6750.0,6500,1.0,1.0,delayed_generalization
0.4,1.0,2,250,7000.0,6750,1.0,1.0,delayed_generalization
0.45,1.0,0,250,6250.0,6000,1.0,1.0,delayed_generalization
0.45,1.0,1,250,5000.0,4750,1.0,1.0,delayed_generalization
0.45,1.0,2,250,6000.0,5750,1.0,1.0,delayed_generalization
0.5,1.0,0,250,4750.0,4500,1.0,1.0,delayed_generalization
0.5,1.0,1,250,4000.0,3750,1.0,1.0,delayed_generalization
0.5,1.0,2,250,4750.0,4500,1.0,1.0,delayed_generalization
